,Пол,Возраст,Повторный клиент,Сумма выдачи номинал,Срок,Просрочки за цикл (кумулятивный),Длительность самой долгой единовременной просрочки,Просрочки на дату 07.06.2021,Льготный период,Цель_Баланд бардоштани сам. эн. манзил,Цель_Оборотный капитал,Цель_Основные средства,Цель_Покупка жилья,Цель_Потребительские цели,Цель_Ремонт жилья,Цель_Старт-ап,Цель_Строительство жилья,Status_Divorced,Status_Married,Status_Single,Status_Widow/Widower,Залог_Движимое имущество,Залог_Депозит,Залог_Не обеспеченный,Залог_Недвижимость,Залог_Поручительство,Залог_Смешанное обеспечение,Залог_Ювелирные изделия,Образование_Аспирантура,Образование_Высшее образование,Образование_Начал образование,Образование_Непол Сред.образ,Образование_Сред.спец.образ-ние,Образование_Среднее образование,Тип_бизнеса_1. Карзи истеъмоли/Потребительский кредит,Тип_бизнеса_2. Истехсолот/Производство,Тип_бизнеса_3. Хизматрасони/Услуги,Тип_бизнеса_4. Савдо / Торговля,Тип_бизнеса_5. Чорводори / Животноводство,Тип_бизнеса_6. Хочагии кишлок / Сельское хозяйство,Тип_бизнеса_7. Тичорати бурунмарзи / Внешняя торговля,Тип_бизнеса_8. Ипотека/Ипотека
110,0,37.0,1,4000.0,12,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
111,1,26.0,1,7000.0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
112,0,43.0,1,5000.0,12,25,15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
113,0,32.0,1,3000.0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
114,0,54.0,0,5000.0,12,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
115,0,35.0,0,10000.0,18,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
116,1,30.0,1,10000.0,18,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
117,0,36.0,1,7000.0,24,101,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
118,0,44.0,0,1000.0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
119,0,25.0,0,2000.0,6,0,0,1007,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
120,0,28.0,1,6500.0,12,276,153,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
121,1,48.0,0,5000.0,18,41,17,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
122,0,31.0,0,10000.0,18,45,14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
123,0,28.0,1,10000.0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
124,1,55.0,1,5000.0,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
125,1,27.0,0,7000.0,18,408,133,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
126,0,28.0,1,4500.0,12,7,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
